区站号,省份,站名,站类,经度,纬度,观测场拔海高度（米）,气压传感器拔海高度（米）
50136 ,黑龙江,漠河,基准站,12231,5258,438.5 ,439.7 
50137 ,黑龙江,北极村,一般站,12222,5328,296.0 ,297.3 
50246 ,黑龙江,塔河,基本站,12443,5221,361.9 ,363.0 
50247 ,黑龙江,呼中,基本站,12334,5202,514.5 ,514.9 
50349 ,黑龙江,新林,基本站,12424,5140,501.5 ,502.2 
50353 ,黑龙江,呼玛,基本站,12638,5144,173.9 ,174.8 
50425,内蒙古,额尔古纳市,基本站,12011,5015,581.4 ,582.3 
50431,内蒙古,根河市,一般站,12131,5047,717.0 ,718.3 
50434,内蒙古,图里河,基准站,12141,5029,732.6 ,733.7 
50442 ,黑龙江,加格达奇,基准站,12407,5024,371.7 ,372.7 
50445,内蒙古,鄂伦春自治旗,一般站,12344,5035,423.7 ,425.2 
50468 ,黑龙江,爱辉,基本站,12727,5015,166.4 ,167.4 
50514,内蒙古,满洲里,基准站,11719,4935,661.8 ,662.7 
50524,内蒙古,陈巴尔虎旗,一般站,11926,4919,576.6 ,578.5 
50525,内蒙古,鄂温克族自治旗,一般站,11945,4909,620.8 ,621.6 
50526,内蒙古,牙克石市,一般站,12042,4917,668.8 ,670.0 
50527,内蒙古,海拉尔,基准站,11942,4915,649.6 ,650.2 
50548,内蒙古,小二沟,基本站,12343,4912,286.1 ,287.2 
50557 ,黑龙江,嫩江,基本站,12514,4910,242.2 ,243.0 
50564 ,黑龙江,孙吴,基准站,12721,4926,234.5 ,236.0 
50566 ,黑龙江,逊克,一般站,12828,4933,116.0 ,117.4 
50603,内蒙古,新巴尔虎右旗,基本站,11649,4841,542.4 ,543.1 
50618,内蒙古,新巴尔虎左旗,基本站,11816,4813,642.0 ,642.7 
50639,内蒙古,扎兰屯,基本站,12244,4800,306.5 ,307.5 
50645,内蒙古,莫力达瓦达斡尔族自治旗,一般站,12429,4829,195.0 ,196.5 
50646 ,黑龙江,讷河,一般站,12451,4829,202.8 ,204.4 
50647,内蒙古,阿荣旗,一般站,12329,4808,236.2 ,237.2 
50655 ,黑龙江,五大连池,一般站,12611,4830,266.8 ,268.2 
50656 ,黑龙江,北安,基本站,12630,4815,278.4 ,279.1 
50658 ,黑龙江,克山,基本站,12553,4803,236.0 ,237.0 
